cbsa,cbsa_name,year,num_quant,min,jobs,cluster_jobs,tr_ct,high_ct,cluster_ct,cluster_share,job_share
10420,"Akron, OH",2010,90th percentile,0,302948,85807,170,0,17,0.1,28.324002799160255
10420,"Akron, OH",2010,95th percentile,0,302948,60185,170,0,8,0.047058823529411764,19.86644572665936
10420,"Akron, OH",2010,80th percentile,0,302948,117554,170,0,34,0.2,38.803358992302314
10420,"Akron, OH",2015,90th percentile,0,318949,76735,170,0,17,0.1,24.058705310253366
10420,"Akron, OH",2015,95th percentile,0,318949,53994,170,0,8,0.047058823529411764,16.92872528209839
10420,"Akron, OH",2015,80th percentile,0,318949,118618,170,0,34,0.2,37.19027179893965
10580,"Albany-Schenectady-Troy, NY",2010,90th percentile,0,412385,130750,217,0,21,0.0967741935483871,31.705808892176
10580,"Albany-Schenectady-Troy, NY",2010,95th percentile,0,412385,93094,217,0,10,0.04608294930875576,22.574535931229313
10580,"Albany-Schenectady-Troy, NY",2010,80th percentile,0,412385,211300,217,0,43,0.19815668202764977,51.23852710452611
10580,"Albany-Schenectady-Troy, NY",2015,90th percentile,0,440330,145665,218,0,21,0.0963302752293578,33.080871164808215
10580,"Albany-Schenectady-Troy, NY",2015,95th percentile,0,440330,103844,218,0,10,0.045871559633027525,23.583221674653103
10580,"Albany-Schenectady-Troy, NY",2015,80th percentile,0,440330,215868,218,0,43,0.19724770642201836,49.02414098517021
10740,"Albuquerque, NM",2010,90th percentile,0,359003,180465,202,0,20,0.09900990099009901,50.268382158366364
10740,"Albuquerque, NM",2010,95th percentile,0,359003,141472,202,0,10,0.04950495049504951,39.40691303415292
10740,"Albuquerque, NM",2010,80th percentile,0,359003,220620,202,0,40,0.19801980198019803,61.453525458004535
10740,"Albuquerque, NM",2015,90th percentile,0,383701,172929,202,0,20,0.09900990099009901,45.06868629479725
10740,"Albuquerque, NM",2015,95th percentile,0,383701,121560,202,0,10,0.04950495049504951,31.680918214964255
10740,"Albuquerque, NM",2015,80th percentile,0,383701,227319,202,0,40,0.19801980198019803,59.24378617725782
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,90th percentile,0,323496,64550,179,0,17,0.09497206703910614,19.953878873309097
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,95th percentile,0,323496,26701,179,0,8,0.0446927374301676,8.253888765239756
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,80th percentile,0,323496,140068,179,0,35,0.19553072625698323,43.298216979498974
10900,"Allentown-Bethlehem-Easton, PA-NJ",2015,90th percentile,0,344321,70544,179,0,17,0.09497206703910614,20.487858713235614
10900,"Allentown-Bethlehem-Easton, PA-NJ",2015,95th percentile,0,344321,31735,179,0,8,0.0446927374301676,9.216690239631042
10900,"Allentown-Bethlehem-Easton, PA-NJ",2015,80th percentile,0,344321,144801,179,0,35,0.19553072625698323,42.05407163664139
12060,"Atlanta-Sandy Springs-Roswell, GA",2010,90th percentile,0,2209062,904257,948,0,94,0.09915611814345991,40.9339801236905
12060,"Atlanta-Sandy Springs-Roswell, GA",2010,95th percentile,0,2209062,578983,948,0,47,0.049578059071729956,26.209449983748755
12060,"Atlanta-Sandy Springs-Roswell, GA",2010,80th percentile,0,2209062,1257136,948,0,189,0.19936708860759494,56.908135670252804
12060,"Atlanta-Sandy Springs-Roswell, GA",2015,90th percentile,0,2518735,1007278,949,0,94,0.09905163329820864,39.9914242665465
12060,"Atlanta-Sandy Springs-Roswell, GA",2015,95th percentile,0,2518735,621090,949,0,47,0.04952581664910432,24.65880690108328
12060,"Atlanta-Sandy Springs-Roswell, GA",2015,80th percentile,0,2518735,1415321,949,0,189,0.19915700737618547,56.191739107131156
12260,"Augusta-Richmond County, GA-SC",2010,90th percentile,0,197537,53559,118,0,11,0.09322033898305085,27.113401539964666
12260,"Augusta-Richmond County, GA-SC",2010,95th percentile,0,197537,36624,118,0,5,0.0423728813559322,18.540324091182917
12260,"Augusta-Richmond County, GA-SC",2010,80th percentile,0,197537,87617,118,0,23,0.19491525423728814,44.35472848124655
12260,"Augusta-Richmond County, GA-SC",2015,90th percentile,0,205648,58987,119,0,11,0.09243697478991597,28.68347856531549
12260,"Augusta-Richmond County, GA-SC",2015,95th percentile,0,205648,38663,119,0,5,0.04201680672268908,18.800571850929746
12260,"Augusta-Richmond County, GA-SC",2015,80th percentile,0,205648,91121,119,0,23,0.19327731092436976,44.309207967011595
12420,"Austin-Round Rock, TX",2010,90th percentile,0,800514,392153,350,0,35,0.1,48.98765043459577
12420,"Austin-Round Rock, TX",2010,95th percentile,0,800514,281284,350,0,17,0.04857142857142857,35.13792388390459
12420,"Austin-Round Rock, TX",2010,80th percentile,0,800514,500576,350,0,70,0.2,62.53182330352748
12420,"Austin-Round Rock, TX",2015,90th percentile,0,956883,391410,350,0,35,0.1,40.90468740692435
12420,"Austin-Round Rock, TX",2015,95th percentile,0,956883,285318,350,0,17,0.04857142857142857,29.817438495615452
12420,"Austin-Round Rock, TX",2015,80th percentile,0,956883,521626,350,0,70,0.2,54.51303868916053
12540,"Bakersfield, CA",2010,90th percentile,0,247210,81477,148,0,14,0.0945945945945946,32.95861817887626
12540,"Bakersfield, CA",2010,95th percentile,0,247210,65416,148,0,7,0.0472972972972973,26.461712713886982
12540,"Bakersfield, CA",2010,80th percentile,0,247210,112598,148,0,29,0.19594594594594594,45.547510213988105
12540,"Bakersfield, CA",2015,90th percentile,0,284472,83551,151,0,15,0.09933774834437085,29.37055316516213
12540,"Bakersfield, CA",2015,95th percentile,0,284472,61885,151,0,7,0.046357615894039736,21.754337861019714
12540,"Bakersfield, CA",2015,80th percentile,0,284472,136523,151,0,30,0.1986754966887417,47.99171798981974
12580,"Baltimore-Columbia-Towson, MD",2010,90th percentile,0,1212756,453706,678,0,67,0.09882005899705015,37.41115277928949
12580,"Baltimore-Columbia-Towson, MD",2010,95th percentile,0,1212756,307380,678,0,33,0.048672566371681415,25.34557652157565
12580,"Baltimore-Columbia-Towson, MD",2010,80th percentile,0,1212756,682306,678,0,135,0.19911504424778761,56.260781228870435
12580,"Baltimore-Columbia-Towson, MD",2015,90th percentile,0,1309980,482984,678,0,67,0.09882005899705015,36.869570527794316
12580,"Baltimore-Columbia-Towson, MD",2015,95th percentile,0,1309980,287736,678,0,33,0.048672566371681415,21.964915494893052
12580,"Baltimore-Columbia-Towson, MD",2015,80th percentile,0,1309980,733285,678,0,135,0.19911504424778761,55.976808806241316
12940,"Baton Rouge, LA",2010,90th percentile,0,357280,127197,151,0,15,0.09933774834437085,35.601489028213166
12940,"Baton Rouge, LA",2010,95th percentile,0,357280,71021,151,0,7,0.046357615894039736,19.878246753246753
12940,"Baton Rouge, LA",2010,80th percentile,0,357280,199185,151,0,30,0.1986754966887417,55.75039184952978
12940,"Baton Rouge, LA",2015,90th percentile,0,388301,133911,151,0,15,0.09933774834437085,34.48639071235974
12940,"Baton Rouge, LA",2015,95th percentile,0,388301,91550,151,0,7,0.046357615894039736,23.57707036551541
12940,"Baton Rouge, LA",2015,80th percentile,0,388301,208037,151,0,30,0.1986754966887417,53.57622050934713
13820,"Birmingham-Hoover, AL",2010,90th percentile,0,477549,189436,264,0,26,0.09848484848484848,39.66839005002628
13820,"Birmingham-Hoover, AL",2010,95th percentile,0,477549,138145,264,0,13,0.04924242424242424,28.92792153265948
13820,"Birmingham-Hoover, AL",2010,80th percentile,0,477549,271944,264,0,52,0.19696969696969696,56.94577938598972
