naics,emp_2010,share_2010,emp_2015,share_2015,job_change,share_change
Logging,1047502,0.85107234179091,1185034,0.8824085998727791,137532,0.03133625808186913
Extraction,613127,0.4981522056332448,751571,0.5596402413896853,138444,0.06148803575644046
Utilities,799551,0.6496176064115045,791561,0.5894178848234707,-7990,-0.06019972158803377
Construction,5243501,4.260229264720237,6346785,4.725989014276009,1103284,0.4657597495557724
Manufacturing,11424228,9.281934046057462,12164577,9.058075429578063,740349,-0.22385861647939898
Wholesale,5401051,4.388235175400271,5793664,4.314120049191267,392613,-0.07411512620900407
Retail,13903433,11.29623359405807,15033396,11.194276211225192,1129963,-0.10195738283287703
Logistics,4182878,3.3984963989430828,4825161,3.5929463307978824,642283,0.19444993185479964
Information,2862877,2.326024611551419,2940709,2.18973203412162,77832,-0.13629257742979917
Finance & insurance,5375907,4.36780622828419,5631999,4.193739886007399,256092,-0.17406634227679074
Real estate,1929867,1.5679745022300653,2085229,1.5527183205748654,155362,-0.01525618165519993
Prof/sci/tech services,7396578,6.009556983852178,8494400,6.325161650011167,1097822,0.31560466615898886
Management,1916598,1.5571937314981492,2301064,1.7134349414933716,384466,0.1562412099952224
Admin & waste management,7057881,5.734373118859504,8491771,6.323204024990227,1433890,0.5888309061307231
Education,12547318,10.194419975766381,12541550,9.338779795123559,-5768,-0.8556401806428227
Health care,17595798,14.296198966245226,19589021,14.586518693546738,1993223,0.2903197273015117
Arts,2115499,1.7187964204233768,2338556,1.741352506075004,223057,0.022556085651627145
Hospitality,10746759,8.731505380221266,12482023,9.294454369250015,1735264,0.5629489890287491
Other services,4330670,3.51857414918887,4248906,3.1638511590815535,-81764,-0.35472299010731634
Public administration,6589231,5.353605298864593,6258405,4.660178858570133,-330826,-0.6934264402944592
Total,123080254,100,134295382,100,11215128,1.9984014443252818e-15
