cbsa,cbsa_name,num_quant,min,jobs 2010,cluster_jobs 2010,tr_ct 2010,high_ct 2010,cluster_ct 2010,cluster_share 2010,job_share 2010,jobs2015,cluster_jobs2015,tr_ct2015,high_ct2015,cluster_ct2015,cluster_share2015,job_share2015
10420,"Akron, OH",80th percentile,0.25,302948,110612,170,13,21,0.12352941176470589,36.511876625691535,318949,114452,170,7,27,0.1588235294117647,35.884106863479744
10420,"Akron, OH",80th percentile,0.5,302948,108655,170,15,19,0.11176470588235295,35.86589117604341,318949,105664,170,15,19,0.11176470588235295,33.1288074268927
10420,"Akron, OH",80th percentile,0.75,302948,102781,170,18,16,0.09411764705882353,33.92694455814199,318949,100006,170,18,16,0.09411764705882353,31.354856105521574
10420,"Akron, OH",90th percentile,0.25,302948,84427,170,2,15,0.08823529411764706,27.868479078917836,318949,74699,170,3,14,0.08235294117647059,23.420358740739115
10420,"Akron, OH",90th percentile,0.5,302948,83488,170,3,14,0.08235294117647059,27.55852489536158,318949,72429,170,5,12,0.07058823529411765,22.708646209895626
10420,"Akron, OH",90th percentile,0.75,302948,79409,170,5,12,0.07058823529411765,26.212089203427652,318949,70274,170,6,11,0.06470588235294118,22.032989600218215
10420,"Akron, OH",95th percentile,0.25,302948,60185,170,0,8,0.047058823529411764,19.86644572665936,318949,53994,170,0,8,0.047058823529411764,16.92872528209839
10420,"Akron, OH",95th percentile,0.5,302948,60185,170,0,8,0.047058823529411764,19.86644572665936,318949,53994,170,0,8,0.047058823529411764,16.92872528209839
10420,"Akron, OH",95th percentile,0.75,302948,60185,170,0,8,0.047058823529411764,19.86644572665936,318949,53994,170,0,8,0.047058823529411764,16.92872528209839
10580,"Albany-Schenectady-Troy, NY",80th percentile,0.25,412385,206600,217,7,36,0.16589861751152074,50.09881542733125,440330,208314,218,9,34,0.1559633027522936,47.30860945200191
10580,"Albany-Schenectady-Troy, NY",80th percentile,0.5,412385,191300,217,17,26,0.11981566820276497,46.388690180292684,440330,196514,218,17,26,0.11926605504587157,44.62880112642791
10580,"Albany-Schenectady-Troy, NY",80th percentile,0.75,412385,180975,217,21,22,0.10138248847926268,43.884961868157184,440330,185746,218,21,22,0.10091743119266056,42.1833624781414
10580,"Albany-Schenectady-Troy, NY",90th percentile,0.25,412385,129433,217,2,19,0.08755760368663594,31.38644713071523,440330,143064,218,3,18,0.08256880733944955,32.49017782117957
10580,"Albany-Schenectady-Troy, NY",90th percentile,0.5,412385,119414,217,8,13,0.059907834101382486,28.956921323520497,440330,136893,218,7,14,0.06422018348623854,31.088728907864553
10580,"Albany-Schenectady-Troy, NY",90th percentile,0.75,412385,119414,217,8,13,0.059907834101382486,28.956921323520497,440330,131256,218,9,12,0.05504587155963303,29.80855267640179
10580,"Albany-Schenectady-Troy, NY",95th percentile,0.25,412385,92146,217,1,9,0.041474654377880185,22.344653661020647,440330,103844,218,0,10,0.045871559633027525,23.583221674653103
10580,"Albany-Schenectady-Troy, NY",95th percentile,0.5,412385,92146,217,1,9,0.041474654377880185,22.344653661020647,440330,103844,218,0,10,0.045871559633027525,23.583221674653103
10580,"Albany-Schenectady-Troy, NY",95th percentile,0.75,412385,92146,217,1,9,0.041474654377880185,22.344653661020647,440330,100798,218,1,9,0.04128440366972477,22.89146776281425
10740,"Albuquerque, NM",80th percentile,0.25,359003,219039,202,2,38,0.18811881188118812,61.01313916596798,383701,225845,202,2,38,0.18811881188118812,58.85963289123563
10740,"Albuquerque, NM",80th percentile,0.5,359003,208359,202,11,29,0.14356435643564355,58.03823366378554,383701,216711,202,9,31,0.15346534653465346,56.47913349196379
10740,"Albuquerque, NM",80th percentile,0.75,359003,194612,202,17,23,0.11386138613861387,54.20901775194079,383701,203001,202,15,25,0.12376237623762376,52.90603881668277
10740,"Albuquerque, NM",90th percentile,0.25,359003,180465,202,0,20,0.09900990099009901,50.268382158366364,383701,172929,202,0,20,0.09900990099009901,45.06868629479725
10740,"Albuquerque, NM",90th percentile,0.5,359003,180465,202,0,20,0.09900990099009901,50.268382158366364,383701,172929,202,0,20,0.09900990099009901,45.06868629479725
10740,"Albuquerque, NM",90th percentile,0.75,359003,175691,202,2,18,0.0891089108910891,48.93858825692264,383701,170708,202,1,19,0.09405940594059406,44.48985016979366
10740,"Albuquerque, NM",95th percentile,0.25,359003,141472,202,0,10,0.04950495049504951,39.40691303415292,383701,121560,202,0,10,0.04950495049504951,31.680918214964255
10740,"Albuquerque, NM",95th percentile,0.5,359003,141472,202,0,10,0.04950495049504951,39.40691303415292,383701,121560,202,0,10,0.04950495049504951,31.680918214964255
10740,"Albuquerque, NM",95th percentile,0.75,359003,141472,202,0,10,0.04950495049504951,39.40691303415292,383701,121560,202,0,10,0.04950495049504951,31.680918214964255
10900,"Allentown-Bethlehem-Easton, PA-NJ",80th percentile,0.25,323496,138997,179,2,33,0.18435754189944134,42.96714642530356,344321,143056,179,3,32,0.1787709497206704,41.54727710479465
10900,"Allentown-Bethlehem-Easton, PA-NJ",80th percentile,0.5,323496,131710,179,8,27,0.15083798882681565,40.71456834087593,344321,133153,179,10,25,0.13966480446927373,38.6711818332312
10900,"Allentown-Bethlehem-Easton, PA-NJ",80th percentile,0.75,323496,116981,179,15,20,0.11173184357541899,36.16149813289809,344321,122771,179,15,20,0.11173184357541899,35.65597218874248
10900,"Allentown-Bethlehem-Easton, PA-NJ",90th percentile,0.25,323496,64550,179,0,17,0.09497206703910614,19.953878873309097,344321,69868,179,1,16,0.0893854748603352,20.291530287144845
10900,"Allentown-Bethlehem-Easton, PA-NJ",90th percentile,0.5,323496,62064,179,2,15,0.08379888268156424,19.185399510349434,344321,63725,179,5,12,0.0670391061452514,18.507439279044846
10900,"Allentown-Bethlehem-Easton, PA-NJ",90th percentile,0.75,323496,50887,179,7,10,0.055865921787709494,15.730333605361427,344321,57167,179,8,9,0.05027932960893855,16.602821204631724
10900,"Allentown-Bethlehem-Easton, PA-NJ",95th percentile,0.25,323496,26701,179,0,8,0.0446927374301676,8.253888765239756,344321,31735,179,0,8,0.0446927374301676,9.216690239631042
10900,"Allentown-Bethlehem-Easton, PA-NJ",95th percentile,0.5,323496,24215,179,2,6,0.0335195530726257,7.48540940228009,344321,28749,179,2,6,0.0335195530726257,8.349476215508203
10900,"Allentown-Bethlehem-Easton, PA-NJ",95th percentile,0.75,323496,20089,179,4,4,0.0223463687150838,6.209968593120163,344321,26242,179,3,5,0.027932960893854747,7.621376564310629
12060,"Atlanta-Sandy Springs-Roswell, GA",80th percentile,0.25,2209062,964633,948,107,82,0.08649789029535865,43.667085849106996,2518735,1124218,949,102,87,0.0916754478398314,44.63423107234385
12060,"Atlanta-Sandy Springs-Roswell, GA",80th percentile,0.5,2209062,513449,948,164,25,0.026371308016877638,23.24285149081375,2518735,648082,949,157,32,0.03371970495258166,25.730455963013178
12060,"Atlanta-Sandy Springs-Roswell, GA",80th percentile,0.75,2209062,351430,948,176,13,0.013713080168776372,15.908562095586271,2518735,351918,949,176,13,0.0136986301369863,13.97201372911402
